name,website,guestbunks,hutname,pppn,dryingroom,gridref,location,lat,lng,caveclub,cave
,,,,,,,,54.18643744,-2.488352485,,
,,,,,,,,54.18614789,-2.488915094,,
,,,,,,,,54.1858799,-2.488734798,,
,,,,,,,,54.18650737,-2.488512665,,
,,,,,,,,54.18652372,-2.488903917,,
,,,,,,,,54.1866056,-2.488752122,,
,,,,,,,,54.18588454,-2.490613491,,
,,,,,,,,54.1815263,-2.482914802,,
,,,,,,,,54.18190454,-2.483645276,,
,,,,,,,,54.18227932,-2.483807792,,
,,,,,,,,54.1837352,-2.487211909,,
,,,,,,,,54.18352147,-2.4866209,,
,,,,,,,,54.18407353,-2.487824499,,
,,,,,,,,54.18406112,-2.487477308,,
,,,,,,,,54.18568881,-2.489608785,,
,,,,,,,,54.18573508,-2.490270822,,
,,,,,,,,54.18563817,-2.490075337,,
,,,,,,,,54.18604126,-2.49118683,,
,,,,,,,,54.18568055,-2.489979658,,
,,,,,,,,54.18594824,-2.490871553,,
,,,,,,,,54.18582475,-2.490519855,,
,,,,,,,,54.18458755,-2.488433286,,
,,,,,,,,54.18479886,-2.487374767,,
,,,,,,,,54.18521814,-2.489393174,,
,,,,,,,,54.18548396,-2.488480564,,
,,,,,,,,54.18592814,-2.488066778,,
,,,,,,,,54.18501966,-2.488525742,,
,,,,,,,,54.18568644,-2.488222265,,
,,,,,,,,54.18625741,-2.488946485,,
,,,,,,,,54.18668615,-2.487199607,,
,,,,,,,,54.18644731,-2.488882359,,
,,,,,,,,54.18633764,-2.488821868,,
,,,,,,,,54.18700974,-2.493255094,,
,,,,,,,,54.18601358,-2.491251137,,
,,,,,,,,54.18703295,-2.49440465,,
,,,,,,,,54.1861081,-2.495454723,,
,,,,,,,,54.18631579,-2.49424294,,
,,,,,,,,54.18632962,-2.494413746,,
,,,,,,,,54.18628347,-2.495038267,,
,,,,,,,,54.1862072,-2.495141325,,
,,,,,,,,54.18704977,-2.494200899,,
,,,,,,,,54.18619297,-2.497474619,,
,,,,,,,,54.18658726,-2.497032035,,
,,,,,,,,54.18669279,-2.494261279,,
,,,,,,,,54.18661661,-2.497100534,,
,,,,,,,,54.18695598,-2.498146484,,
,,,,,,,,54.18657506,-2.499156286,,
,,,,,,,,54.18648789,-2.496733471,,
,,,,,,,,54.1869755,-2.50062941,,
,,,,,,,,54.18620774,-2.493003368,,
,,,,,,,,54.18601286,-2.492431215,,
,,,,,,,,54.18713146,-2.49432786,,
,,,,,,,,54.18607218,-2.491251056,,
,,,,,,,,54.18615913,-2.492602561,,
,,,,,,,,54.18660975,-2.492736024,,
,,,,,,,,54.18690503,-2.493637252,,
,,,,,,,,54.187094,-2.492761168,,
,,,,,,,,54.18700687,-2.493141514,,
,,,,,,,,54.18704018,-2.493137598,,
,,,,,,,,54.18704403,-2.493559279,,
,,,,,,,,54.18823361,-2.492165211,,
,,,,,,,,54.18803762,-2.492594399,,
,,,,,,,,54.1881519,-2.492726755,,
,,,,,,,,54.18809286,-2.491721826,,
,,,,,,,,54.18806479,-2.492364706,,
,,,,,,,,54.18809845,-2.491359022,,
,,,,,,,,54.18787301,-2.491779761,,
,,,,,,,,54.18808498,-2.49147526,,
,,,,,,,,54.18804503,-2.491712472,,
,,,,,,,,54.18821372,-2.4915665,,
,,,,,,,,54.18844727,-2.491712095,,
,,,,,,,,54.18836547,-2.492021372,,
,,,,,,,,54.18848386,-2.492288376,,
,,,,,,,,54.18866069,-2.492334059,,
,,,,,,,,54.18848864,-2.491683829,,
,,,,,,,,54.18843941,-2.492319751,,
,,,,,,,,54.18838751,-2.492064796,,
,,,,,,,,54.19996237,-2.511813155,,
,,,,,,,,54.19247929,-2.503187798,,
,,,,,,,,54.1924754,-2.503215304,,
,,,,,,,,54.19240457,-2.503122591,,
,,,,,,,,54.19233547,-2.502783381,,
,,,,,,,,54.1923239,-2.502834725,,
,,,,,,,,54.19230045,-2.502811032,,
,,,,,,,,54.19219852,-2.50289094,,
,,,,,,,,54.19228984,-2.502828329,,
,,,,,,,,54.19226814,-2.502917082,,
,,,,,,,,54.19230437,-2.50299565,,
,,,,,,,,54.19226157,-2.502940469,,
,,,,,,,,54.19232329,-2.502902144,,
,,,,,,,,54.19232095,-2.503188881,,
,,,,,,,,54.1923171,-2.503194204,,
,,,,,,,,54.19228082,-2.503059623,,
,,,,,,,,54.18871032,-2.500828566,,
,,,,,,,,54.18827023,-2.501748662,,
,,,,,,,,54.18961251,-2.498881184,,
,,,,,,,,54.1893814,-2.49988734,,
,,,,,,,,54.18966933,-2.498758506,,
,,,,,,,,54.18950833,-2.498300864,,
,,,,,,,,54.18965134,-2.498586779,,
,,,,,,,,54.18923802,-2.499501667,,
,,,,,,,,54.18933544,-2.499701458,,
,,,,,,,,54.18924908,-2.499686163,,
,,,,,,,,54.18872161,-2.500883797,,
,,,,,,,,54.18839374,-2.501846855,,
,,,,,,,,54.18738677,-2.501485986,,
,,,,,,,,54.18764651,-2.501687197,,
,,,,,,,,54.18814532,-2.501460476,,
,,,,,,,,54.18842792,-2.500860018,,
,,,,,,,,54.18832601,-2.502253296,,
,,,,,,,,54.19149726,-2.504568967,,
,,,,,,,,54.18920348,-2.501771422,,
,,,,,,,,54.18941331,-2.502275477,,
,,,,,,,,54.19062821,-2.502256961,,
,,,,,,,,54.19022215,-2.500827003,,
,,,,,,,,54.19045243,-2.50132269,,
,,,,,,,,54.19202652,-2.503846621,,
,,,,,,,,54.18798639,-2.501014439,,
,,,,,,,,54.1885704,-2.502047264,,
,,,,,,,,54.18825596,-2.501570697,,
,,,,,,,,54.18845762,-2.501355758,,
,,,,,,,,54.18870089,-2.502393221,,
,,,,,,,,54.18853007,-2.501882196,,
,,,,,,,,54.19241784,-2.503436278,,
,,,,,,,,54.19236473,-2.503611724,,
,,,,,,,,54.19237571,-2.503539418,,
,,,,,,,,54.19235812,-2.503582042,,
,,,,,,,,54.19233437,-2.506039946,,
